id,credit_card_number,credit_card_type
246,5038008788330862191,maestro
247,5100131835338659,mastercard
248,4405116725595851,visa-electron
249,201885532518074,diners-club-enroute
250,4911867785245848,switch
251,67719148770277661,laser
252,201658377469764,diners-club-enroute
253,3554181460593017,jcb
254,3554005191381337,jcb
255,3531293325197567,jcb
256,4041593240286,visa
257,67638781809404092,maestro
258,6390998274559541,instapayment
259,6387621179089852,instapayment
260,3536406063094227,jcb
261,3559322378402744,jcb
262,379402887769058,americanexpress
263,3579602475519854,jcb
264,5002359292737704,mastercard
265,5002354968944205,mastercard
266,4017953013259042,visa
267,3583145347814271,jcb
268,3563606771296404,jcb
269,5100137890444720,mastercard
270,3582997261830803,
271,5602221494505144184,china-unionpay
272,30427888005955,diners-club-carte-blanche
273,30141706706161,diners-club-carte-blanche
274,344313494796008,americanexpress
275,3584936925372636,jcb
276,6767457641255867787,solo
277,3581632433695179,jcb
278,201482697258611,diners-club-enroute
279,344845050156861,americanexpress
280,561010702856114483,china-unionpay
281,5401670377363621,mastercard
282,5002353432417277,mastercard
283,5610301252458917,china-unionpay
284,5610040571664754416,china-unionpay
285,30313754535756,diners-club-carte-blanche
286,3560899486620140,jcb
287,3584446768111646,jcb
288,5602257194487093,bankcard
289,5002359851669314,mastercard
290,3566732644722033,jcb
291,3538994460708125,jcb
292,201511434734482,diners-club-enroute
293,560221196750040141,china-unionpay
294,3574635253394749,jcb
295,4405990399260186,visa-electron
296,4041599758521,visa
297,4041592723613,visa
298,3576867709254882,jcb
299,3552965956276216,jcb
300,4405783026379101,visa-electron
301,6391246300848036,
302,5048375360697717,mastercard
303,493612948446969690,switch
304,3552316018754354,jcb
305,5464976778912641,mastercard
306,3588911441179753,jcb
307,6373352933099153,instapayment
308,4913422834592044,visa-electron
309,4905000829342215025,switch
310,5038981913579930,maestro
311,3582248748558066,jcb
312,30523605388904,diners-club-carte-blanche
313,3562809277751671,jcb
314,5610678055134653712,china-unionpay
315,5007663036297379,mastercard
316,670669459077909000,laser
317,3540321340226704,jcb
318,4903289366431813003,switch
319,3548984670281672,jcb
320,3530491101510315,jcb
321,201452535326870,diners-club-enroute
322,3578828188927792,jcb
323,4041592406360593,visa
324,201631182840461,diners-club-enroute
325,56022572028449647,china-unionpay
326,3568317925385854,jcb
327,3551397088023996,jcb
328,4017954242207638,visa
329,30373239947513,
330,5002357483719473,mastercard
331,3587012014275176,jcb
332,6759168952312557031,maestro
333,3558854886108588,jcb
334,5457439290121521,diners-club-us-ca
335,3575085191792563,jcb
336,36940447949525,diners-club-international
337,4209546204401536,visa
338,3543414955753281,jcb
339,5018172149784514600,maestro
340,3563645947009531,jcb
341,060437583413557580,maestro
342,3554594263264976,
343,56022331774475201,china-unionpay
344,5610001265191097,china-unionpay
345,3557633635670267,jcb
346,5602244619629046,bankcard
347,3554420450972371,jcb
348,676227799995698462,maestro
349,5563329858016737,diners-club-us-ca
350,3574249653406655,jcb
351,5549901769495611,mastercard
352,4017958173700,visa
353,5567731780074906,mastercard
354,4903468708000932727,switch
355,5100131846071562,mastercard
356,4936631550455045,switch
357,5002352247910047,mastercard
358,3551700957687090,jcb
359,67613299124809126,
360,3583314454948344,jcb
361,3538928482198303,jcb
362,5007660356285661,mastercard
363,30141602899839,diners-club-carte-blanche
364,201815545800201,diners-club-enroute
365,6333667239056436,switch
366,5602234877550059,bankcard
367,3576510615213127,jcb
368,633458932136167367,solo
369,67597408351095149,maestro
370,3561361641988309,
371,3545292869859826,jcb
372,67595954231641489,maestro
373,5602256194308739,
374,3564253280869873,jcb
375,675954255698528614,maestro
376,6763163628453075341,maestro
377,3542636832741060,
378,677167278177424658,laser
379,5048370900856501,mastercard
380,30545132377704,diners-club-carte-blanche
381,5581393902481790,
382,3530378104904837,jcb
383,3539322047672847,jcb
384,344064925090590,americanexpress
385,5100179815928270,
386,3544675995856404,jcb
387,5007665359416023,mastercard
388,5602233301606313,bankcard
389,201679847623145,diners-club-enroute
390,3568544600702000,jcb
391,5341336320750107,mastercard
392,3581018165759567,jcb
393,6706133268141994,laser
394,3553424999403733,
395,4405147466430479,visa-electron
396,3580065947362088,jcb
397,5002352952012450,mastercard
398,3588589165215928,jcb
399,4175000605212332,visa-electron
400,4844857811626931,visa-electron
401,3575777263185599,jcb
402,4041374391688,visa
403,3545169453987272,jcb
404,3577087466945767,jcb
405,5295573141424449,mastercard
406,201987362526928,diners-club-enroute
407,4903014056323133,switch
408,3542510977171609,jcb
409,5641827426355058870,switch
410,5312060081705762,mastercard
411,5100139822414045,mastercard
412,670663325491639919,laser
413,3528681014910057,jcb
414,3556164734450501,jcb
415,5298846026310041,mastercard
416,4911124393128903,switch
417,3588331864240562,jcb
418,374897255150564,americanexpress
419,4041594742930857,visa
420,5010126824280879,mastercard
421,4508575887037349,visa-electron
422,3530137776802384,jcb
423,3547599250577918,jcb
424,3581256704106425,jcb
425,3582602509322742,jcb
426,3528761876087473,jcb
427,3540472772342954,jcb
428,3532288452982996,jcb
429,30281083850925,diners-club-carte-blanche
430,3579577194442440,jcb
431,201528519062290,diners-club-enroute
432,5108751667743056,mastercard
433,374306562591965,
434,3538822643010186,jcb
435,3576467749137278,jcb
436,201936062765203,diners-club-enroute
437,201531087858354,diners-club-enroute
438,30001804938621,diners-club-carte-blanche
439,5602240829106734,bankcard
440,3580362504238680,jcb
441,3571598137981656,jcb
442,3547146769441028,jcb
443,675984467770140036,maestro
444,4844798986429562,visa-electron
445,3549388611104374,jcb
446,30243360055073,diners-club-carte-blanche
447,6390573432376896,instapayment
448,30324970015317,diners-club-carte-blanche
449,30273007953208,diners-club-carte-blanche
450,3589009039639186,jcb
451,3568211244552197,jcb
452,4905151148358640,switch
453,060456007929465050,maestro
454,3570065040799436,jcb
455,676709547110730026,solo
456,3543463465351532,jcb
457,3543937386392832,jcb
458,3587652960432402,jcb
459,4917253036779543,visa-electron
460,3579441672130797,jcb
461,3583743249642830,
462,201482837094371,diners-club-enroute
463,560222628791161576,china-unionpay
464,5641824980832775,switch
465,589300782484066131,maestro
466,5398247430036521,mastercard
467,4175005721677607,visa-electron
468,36799525012493,diners-club-international
469,3533538718251357,jcb
470,3584121049975081,jcb
471,6333391037530608833,switch
472,5100170882721391,mastercard
473,201830857655077,diners-club-enroute
474,5602213612023168,bankcard
475,4730833997164,visa
476,675971904372339389,switch
477,4405097631259792,visa-electron
478,5602219903946579,china-unionpay
479,3586490119372372,jcb
480,6333976790145948514,switch
481,4917069516243630,visa-electron
482,5610402934919942990,china-unionpay
483,4261753851264,visa
484,3540882546768252,jcb
485,3584854418945778,jcb
486,56022152664312522,china-unionpay
487,201485470732108,diners-club-enroute
488,36660457415718,diners-club-international
489,4041597345247173,visa
490,3565240323729999,jcb
491,633313560775703526,switch
492,3557222360347174,jcb
493,376453308627709,americanexpress
494,5435612227961246,mastercard
495,30551047992512,diners-club-carte-blanche
496,3537509750113678,jcb
497,3566105014265745,jcb
498,4844418380324463,visa-electron
499,3564501970902762,jcb
500,3566053506866945,jcb
